Kernel  	  C	  eps	gamma  	  degree	  opt tol	   train avg mse	   train std mse	    test avg mse	    test std mse	  train avg mae	  train std mae	  test avg mae	  test std mae	  train avg mee	  train std mee	  test avg mee	  test std mee
rbf     	  1	0.1  	auto   	       1	    0.1  	 92928.5        	 25378          	146818          	120119          	        185.059	        29.2179	       233.752	       128.323	        371.769	        256.288	       467.584	       256.288
rbf     	  1	0.1  	scale  	       1	    0.1  	 92904.4        	 25251.5        	147531          	119727          	        184.901	        29.1386	       234.813	       127.939	        371.407	        255.517	       469.704	       255.517
poly    	  1	0.1  	scale  	       3	    0.1  	 99226.4        	 24543.4        	146954          	130354          	        190.821	        27.6597	       227.094	       130.367	        383.191	        261.07 	       453.825	       261.07
poly    	  1	0.1  	scale  	       7	    0.1  	112811          	 27753.8        	157469          	133771          	        201.169	        26.952 	       228.359	       126.971	        404.188	        253.106	       457.383	       253.106
linear  	  1	0.1  	scale  	       1	    0.1  	 92738.6        	 24660.1        	139089          	128156          	        187.097	        29.4999	       221.009	       136.506	        374.431	        272.897	       441.937	       272.897
rbf     	  1	0.01 	auto   	       1	    0.1  	 92649.5        	 25032.8        	157941          	129832          	        184.515	        28.6248	       243.376	       132.617	        370.15 	        264.877	       486.82 	       264.877
rbf     	  1	0.01 	scale  	       1	    0.1  	 93348.5        	 25043.6        	155874          	135792          	        185.927	        28.9244	       238.496	       137.913	        372.514	        275.487	       477.061	       275.487
poly    	  1	0.01 	scale  	       3	    0.1  	 94985.2        	 25742          	144164          	129472          	        188.2  	        29.9726	       224.235	       135.642	        378.91 	        270.961	       448.628	       270.961
poly    	  1	0.01 	scale  	       7	    0.1  	111531          	 35912          	160386          	123345          	        196.717	        31.855 	       244.313	       114.957	        396.774	        229.884	       488.17 	       229.884
linear  	  1	0.01 	scale  	       1	    0.1  	 92332.6        	 25203.1        	139225          	128062          	        186.759	        29.923 	       221.343	       136.881	        373.952	        273.656	       442.653	       273.656
rbf     	  1	0.001	auto   	       1	    0.1  	 93260.2        	 24980.1        	154697          	134758          	        185.795	        28.9945	       237.673	       137.348	        372.581	        274.344	       475.427	       274.344
rbf     	  1	0.001	scale  	       1	    0.1  	 93050.4        	 25199.5        	153392          	132597          	        185.515	        29.1302	       237.192	       136.075	        372.061	        271.792	       474.465	       271.792
poly    	  1	0.001	scale  	       3	    0.1  	 94931.7        	 26049.1        	143726          	129122          	        188.192	        30.217 	       223.858	       135.734	        378.483	        271.174	       447.791	       271.174
poly    	  1	0.001	scale  	       7	    0.1  	118181          	 33756.5        	166698          	125630          	        202.984	        30.7217	       241.259	       120.324	        408.608	        240.367	       482.229	       240.367
linear  	  1	0.001	scale  	       1	    0.1  	 92345.1        	 24700.8        	139203          	128671          	        186.807	        29.5064	       221.322	       136.91 	        373.856	        273.704	       442.617	       273.704
rbf     	  1	0.1  	auto   	       1	    0.001	 92606.9        	 25444.3        	148067          	127455          	        185.217	        29.4374	       233.45 	       133.18 	        371.613	        265.995	       467.001	       265.995
rbf     	  1	0.1  	scale  	       1	    0.001	 92625.3        	 25504.3        	147601          	127185          	        185.314	        29.5518	       232.821	       133.459	        371.746	        266.573	       465.728	       266.573
poly    	  1	0.1  	scale  	       3	    0.001	 91950.3        	 25365.8        	139467          	128373          	        185.973	        29.8663	       222.65 	       135.703	        373.438	        271.101	       445.396	       271.101
poly    	  1	0.1  	scale  	       7	    0.001	 91839.5        	 25301.5        	139104          	128679          	        185.671	        29.7839	       221.931	       135.958	        374.127	        271.449	       444.103	       271.449
linear  	  1	0.1  	scale  	       1	    0.001	 91866.7        	 25089.1        	138981          	128356          	        186.36 	        29.924 	       221.557	       136.98 	        373.27 	        273.838	       443.018	       273.838
rbf     	  1	0.01 	auto   	       1	    0.001	 92043          	 25349.7        	151545          	127817          	        184.39 	        29.2526	       237.387	       132.621	        370.125	        264.873	       474.921	       264.873
rbf     	  1	0.01 	scale  	       1	    0.001	 92079          	 25400.4        	150339          	128488          	        184.609	        29.3771	       235.752	       133.323	        370.554	        266.283	       471.649	       266.283
poly    	  1	0.01 	scale  	       3	    0.001	 92192.9        	 25563.8        	140040          	128361          	        185.899	        29.9539	       223.56 	       134.92 	        373.659	        269.537	       447.293	       269.537
poly    	  1	0.01 	scale  	       7	    0.001	 92219.1        	 25586.7        	140046          	128335          	        185.537	        29.8326	       223.806	       134.038	        374.236	        267.568	       447.95 	       267.568
linear  	  1	0.01 	scale  	       1	    0.001	 91899.6        	 25082.1        	139128          	128442          	        186.297	        29.9676	       221.62 	       137.001	        373.373	        273.88 	       443.233	       273.88
