  Monk	Kernel  	Gamma  	  Degree	    C	  opt tol	  train mse	  test mse	  train acc	  test acc
     2	rbf     	auto   	       1	  0.1	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	  0.1	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	  0.1	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       5	  0.1	    0.1  	   0.491124	  0.4375  	   0.508876	  0.5625
     2	poly    	scale  	       7	  0.1	    0.1  	   0.491124	  0.511574	   0.508876	  0.488426
     2	linear  	scale  	       1	  0.1	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	auto   	       1	  0.1	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	  0.1	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	  0.1	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       5	  0.1	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       7	  0.1	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	linear  	scale  	       1	  0.1	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	auto   	       1	  0.1	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	  0.1	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	  0.1	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       5	  0.1	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       7	  0.1	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	linear  	scale  	       1	  0.1	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	auto   	       1	  0.5	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	  0.5	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	  0.5	    0.1  	   0.378698	  0.347222	   0.621302	  0.652778
     2	poly    	scale  	       5	  0.5	    0.1  	   0.408284	  0.412037	   0.591716	  0.587963
     2	poly    	scale  	       7	  0.5	    0.1  	   0.402367	  0.435185	   0.597633	  0.564815
     2	linear  	scale  	       1	  0.5	    0.1  	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	auto   	       1	  0.5	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	scale  	       1	  0.5	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       3	  0.5	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	poly    	scale  	       5	  0.5	    0.001	   0.431953	  0.423611	   0.568047	  0.576389
     2	poly    	scale  	       7	  0.5	    0.001	   0.414201	  0.428241	   0.585799	  0.571759
     2	linear  	scale  	       1	  0.5	    0.001	   0.378698	  0.328704	   0.621302	  0.671296
     2	rbf     	auto   	       1	  0.5	    1e-08	   0.378698	  0.328704	   0.621302	  0.671296
