  features,  samples,  exact 1 it,  exact 1 f_gap,  exact 1 time,  exact 0.1 it,  exact 0.1 f_gap,  exact 0.1 time,  exact 0.01 it,  exact 0.01 f_gap,  exact 0.01 time,  exact 0.001 it,  exact 0.001 f_gap,  exact 0.001 time
10,200,3.58E+01,2.04E-03,1.39E-01,3.43E+01,7.43E-04,1.36E-01,4.02E+01,7.43E-04,1.43E-01,4.02E+01,7.43E-04,1.44E-01
50,200,3.49E+01,1.18E-04,1.58E-01,3.34E+01,2.98E-04,1.59E-01,3.34E+01,2.98E-04,1.56E-01,3.34E+01,2.98E-04,1.56E-01
100,100,1.93E+01,3.73E-06,4.97E-02,1.97E+01,2.30E-06,4.94E-02,1.97E+01,2.30E-06,4.97E-02,1.97E+01,2.30E-06,5.00E-02
200,300,2.87E+01,1.61E-07,3.66E-01,2.33E+01,6.89E-08,3.45E-01,2.33E+01,6.89E-08,3.52E-01,2.33E+01,6.89E-08,3.48E-01
200,500,2.81E+01,1.35E-05,8.35E-01,3.26E+01,6.73E-06,8.37E-01,3.74E+01,5.54E-06,8.56E-01,3.74E+01,5.54E-06,8.58E-01
300,1000,3.35E+01,2.14E-05,4.78E+00,3.84E+01,2.52E-08,4.77E+00,4.36E+01,2.52E-08,4.84E+00,4.36E+01,2.52E-08,4.84E+00
,,3.01E+01,3.66E-04,1.05E+00,3.03E+01,1.75E-04,1.05E+00,3.29E+01,1.75E-04,1.07E+00,3.29E+01,1.75E-04,1.07E+00
10,200,3.58E+01,2.04E-03,1.45E-01,3.06E+01,4.02E-01,1.43E-01,3.20E+01,9.11E-04,1.46E-01,3.20E+01,9.11E-04,1.45E-01
50,200,3.49E+01,1.18E-04,1.66E-01,3.54E+01,9.21E-05,1.68E-01,3.71E+01,8.26E-05,1.70E-01,3.97E+01,8.24E-05,1.76E-01
100,100,1.93E+01,3.73E-06,5.28E-02,3.81E+01,2.09E-07,7.02E-02,3.94E+01,3.14E-06,7.26E-02,3.86E+01,3.14E-06,7.20E-02
200,300,2.87E+01,1.61E-07,3.60E-01,3.91E+01,7.11E-07,3.87E-01,3.88E+01,5.65E-07,3.88E-01,3.88E+01,5.65E-07,3.87E-01
200,500,2.81E+01,1.35E-05,8.38E-01,3.68E+01,1.51E-04,8.80E-01,3.75E+01,2.56E-04,8.85E-01,3.56E+01,2.56E-04,8.85E-01
300,1000,3.35E+01,2.14E-05,4.93E+00,3.11E+01,4.25E-05,5.02E+00,4.51E+01,2.26E-04,5.44E+00,4.78E+01,2.26E-04,5.59E+00
,,3.01E+01,3.66E-04,1.08E+00,3.52E+01,6.70E-02,1.11E+00,3.83E+01,2.47E-04,1.18E+00,3.88E+01,2.47E-04,1.21E+00
,,3.49e+01,1.18e-04,1.66e-01,3.54e+01,9.21e-05,1.68e-01,3.71e+01,8.26e-05,1.70e-01,3.97e+01,8.24e-05,1.76e-01
