  features	  samples	  exact 1 it	  exact 1 f_gap	  exact 1 time	  exact 0.1 it	  exact 0.1 f_gap	  exact 0.1 time	  exact 0.01 it	  exact 0.01 f_gap	  exact 0.01 time	  exact 0.001 it	  exact 0.001 f_gap	  exact 0.001 time
        10	      200	    3.87e+01	       1.54e-03	      2.19e-01	      3.79e+01	         6.47e-03	        2.05e-01	       3.79e+01	          6.47e-03	         1.90e-01	        3.79e+01	           6.47e-03	          1.98e-01
        50	      200	    3.59e+01	       4.49e-05	      2.23e-01	      3.64e+01	         1.62e-06	        2.32e-01	       3.64e+01	          1.42e-06	         2.15e-01	        3.64e+01	           1.42e-06	          2.07e-01
       100	      100	    1.83e+01	       1.57e-05	      6.93e-02	      1.85e+01	         1.51e-06	        7.48e-02	       1.85e+01	          1.51e-06	         7.00e-02	        1.85e+01	           1.51e-06	          6.84e-02
       200	      300	    2.69e+01	       8.96e-06	      4.42e-01	      2.44e+01	         5.07e-06	        4.87e-01	       2.44e+01	          5.07e-06	         4.75e-01	        2.44e+01	           5.07e-06	          4.52e-01
       200	      500	    3.43e+01	       3.37e-06	      1.09e+00	      3.09e+01	         1.20e-08	        1.31e+00	       3.09e+01	          1.20e-08	         1.19e+00	        3.09e+01	           1.20e-08	          1.13e+00
       300	     1000	    3.46e+01	       8.34e-06	      5.98e+00	      3.56e+01	         8.79e-06	        6.61e+00	       3.56e+01	          8.81e-06	         6.86e+00	        3.56e+01	           8.81e-06	          6.60e+00
        10	      200	    3.87e+01	       1.54e-03	      2.00e-01	      3.25e+01	         1.71e-03	        1.93e-01	       3.34e+01	          4.03e-04	         1.94e-01	        3.34e+01	           4.03e-04	          1.91e-01
        50	      200	    3.59e+01	       4.49e-05	      2.11e-01	      3.59e+01	         9.30e-05	        2.36e-01	       3.75e+01	          3.13e-05	         2.49e-01	        3.75e+01	           3.13e-05	          2.31e-01
       100	      100	    1.83e+01	       1.57e-05	      7.46e-02	      3.62e+01	         1.29e-06	        9.56e-02	       4.06e+01	          3.70e-06	         9.98e-02	        4.06e+01	           3.70e-06	          1.02e-01
       200	      300	    2.69e+01	       8.96e-06	      4.44e-01	      4.36e+01	         1.69e-06	        4.94e-01	       4.11e+01	          4.74e-06	         5.22e-01	        4.14e+01	           4.74e-06	          5.75e-01
       200	      500	    3.43e+01	       3.37e-06	      1.07e+00	      4.24e+01	         2.74e-05	        1.06e+00	       3.97e+01	          2.44e-05	         1.10e+00	        3.97e+01	           2.44e-05	          1.08e+00
       300	     1000	    3.46e+01	       8.34e-06	      7.94e+00	      3.80e+01	         2.85e-05	        9.43e+00	       3.90e+01	          1.15e-04	         5.68e+00	        3.90e+01	           1.15e-04	          5.87e+00
