features,samples,exact,0.1,it,exact,0.1,f_gap,exact,0.1,time,exact,0.01,it
10,200,3.67E+01,5.56E-03,2.28E-01,4.14E+01,2.96E-03,1.60E-01,4.90E+01,3.44E-04,2.14E-01,4.94E+01,3.35E-04,2.25E-01
50,200,2.99E+01,4.49E-05,2.14E-01,3.89E+01,2.00E-05,2.02E-01,3.96E+01,4.53E-05,2.23E-01,3.81E+01,4.57E-05,2.37E-01
100,100,1.93E+01,2.94E-05,5.14E-02,1.92E+01,2.11E-05,5.16E-02,1.97E+01,8.78E-08,5.46E-02,1.97E+01,4.64E-07,7.40E-02
200,300,2.26E+01,2.80E-05,4.79E-01,2.46E+01,2.83E-07,6.19E-01,2.44E+01,7.68E-07,4.88E-01,2.44E+01,7.71E-07,5.02E-01
200,500,3.22E+01,3.42E-06,1.27E+00,3.44E+01,9.88E-06,1.10E+00,3.22E+01,1.32E-06,9.13E-01,3.24E+01,1.36E-06,8.71E-01
300,1000,3.02E+01,7.95E-05,4.66E+00,3.44E+01,7.59E-05,4.64E+00,4.61E+01,2.38E-07,4.64E+00,4.26E+01,1.28E-06,4.59E+00
,,2.85E+01,9.58E-04,1.15E+00,3.22E+01,5.15E-04,1.13E+00,3.52E+01,6.53E-05,1.09E+00,3.44E+01,6.41E-05,1.08E+00
10,200,2.84E+01,7.41E-03,1.35E-01,3.66E+01,8.51E-04,1.47E-01,4.45E+01,4.16E-04,1.59E-01,4.46E+01,4.16E-04,1.62E-01
50,200,2.88E+01,5.62E-04,1.58E-01,3.74E+01,5.99E-05,1.68E-01,4.72E+01,2.31E-05,1.86E-01,4.81E+01,2.13E-05,1.88E-01
100,100,3.81E+01,2.34E-05,6.96E-02,4.22E+01,2.31E-05,7.45E-02,4.26E+01,7.96E-06,7.65E-02,4.25E+01,7.94E-06,7.73E-02
200,300,3.48E+01,2.97E-05,3.76E-01,4.00E+01,7.39E-07,3.87E-01,4.24E+01,3.79E-07,3.97E-01,4.20E+01,9.79E-07,3.98E-01
200,500,3.13E+01,7.81E-04,8.53E-01,4.00E+01,1.94E-06,8.96E-01,4.74E+01,2.10E-07,9.33E-01,4.72E+01,3.45E-07,9.32E-01
300,1000,2.93E+01,1.07E-02,4.68E+00,4.03E+01,6.52E-05,4.91E+00,5.46E+01,8.40E-08,5.17E+00,5.47E+01,1.17E-07,5.19E+00
,,3.18E+01,3.25E-03,1.05E+00,3.94E+01,1.67E-04,1.10E+00,4.65E+01,7.46E-05,1.15E+00,4.65E+01,7.44E-05,1.16E+00
