kernel  	gamma  	  degree	  C	  tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	   cp_gap	    cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0667462	0.235223 	 8.64318	        5	       0.0299143	    0.00127363 	        0.241124	      0.0945836	  0.0311866	0.985853   	 3.22919	          2	exact       	 1     	    1    	      2	    0.1  	x              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0703814	0.235223 	 8.64318	        5	       0.0299143	    0.00127363 	        0.241124	      0.0945836	  0.0210133	0.985853   	 3.22919	          2	exact       	 1     	    1    	      2	    0.1  	x              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.06071  	0.235223 	 8.64318	        5	       0.0299132	    0.00127361 	        0.241137	      0.0945958	  0.0214651	0.985893   	 3.22888	          2	exact       	 1     	    1    	      2	    0.1  	x              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0586312	0.235223 	 8.64318	        5	       0.0299132	    0.00127361 	        0.241137	      0.0945958	  0.0250137	0.985893   	 3.22889	          2	exact       	 1     	    1    	      2	    0.1  	x              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0610161	0.235223 	 8.64318	        5	       0.0134652	    0.00026301 	        0.243169	      0.0947365	  0.12975  	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0620313	0.235223 	 8.64318	        5	       0.0135397	    0.000262027	        0.243106	      0.0946763	  0.127331 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0627439	0.235223 	 8.64318	        5	       0.013586 	    0.000266417	        0.243152	      0.0947136	  0.13975  	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0627363	0.235223 	 8.64318	        5	       0.0135902	    0.00026658 	        0.243153	      0.0947135	  0.157125 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0672193	0.235223 	 8.64318	        5	       0.0159394	    0.000392366	        0.245303	      0.096813 	  0.0231857	0.95412    	 3.28834	          3	exact       	 1     	    1    	      2	    0.1  	f              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.0136937	  0.000487839	      0.245368	     0.096622	0.0682611	0.235223 	 8.64318	        5	       0.0159258	    0.000391498	        0.245267	      0.0967896	  0.0237229	0.954066   	 3.2882 	          3	exact       	 1     	    1    	      2	    0.1  	f              	    0.01
