kernel  	gamma  	  degree	  C	  tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	   cp_gap	   cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.284258	0.581924 	11.5929	        5	      0.0327397 	    0.00176282 	       0.0913712	     0.0147498 	  0.182998 	2.21588    	 3.84238	          3	exact       	 1     	    1    	      2	    0.1  	x              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.317263	0.581924 	11.5929	        5	      0.0327615 	    0.00176409 	       0.0913781	     0.0147605 	  0.109999 	2.21431    	 3.84313	          3	exact       	 1     	    1    	      2	    0.1  	x              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.263139	0.581924 	11.5929	        5	      0.0327618 	    0.00176412 	       0.0913778	     0.0147603 	  0.107    	2.21433    	 3.84313	          3	exact       	 1     	    1    	      2	    0.1  	x              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.275521	0.581924 	11.5929	        5	      0.0327618 	    0.00176412 	       0.0913778	     0.0147603 	  0.117117 	2.21433    	 3.84313	          3	exact       	 1     	    1    	      2	    0.1  	x              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.346257	0.581924 	11.5929	        5	      0.0120179 	    0.000225456	       0.066645 	     0.00869657	  0.475131 	0.0332516  	14.6751 	        178	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.326256	0.581924 	11.5929	        5	      0.0122952 	    0.000236895	       0.0666979	     0.00871041	  0.620307 	0.0253091  	14.7189 	        164	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.263077	0.581924 	11.5929	        5	      0.0119728 	    0.000223199	       0.0666575	     0.00871474	  0.472172 	0.03459    	14.6533 	        162	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.308248	0.581924 	11.5929	        5	      0.0119644 	    0.000222845	       0.0666591	     0.00871471	  0.525761 	0.0345966  	14.6533 	        162	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.338119	0.581924 	11.5929	        5	      0.0327397 	    0.00176282 	       0.0913712	     0.0147498 	  0.13663  	2.21588    	 3.84238	          3	exact       	 1     	    1    	      2	    0.1  	f              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.313254	0.581924 	11.5929	        5	      0.0327615 	    0.00176409 	       0.0913781	     0.0147605 	  0.12513  	2.21431    	 3.84313	          3	exact       	 1     	    1    	      2	    0.1  	f              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.276271	0.581924 	11.5929	        5	      0.0327618 	    0.00176412 	       0.0913778	     0.0147603 	  0.130002 	2.21433    	 3.84313	          3	exact       	 1     	    1    	      2	    0.1  	f              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.348209	0.581924 	11.5929	        5	      0.0327618 	    0.00176412 	       0.0913778	     0.0147603 	  0.129007 	2.21433    	 3.84313	          3	exact       	 1     	    1    	      2	    0.1  	f              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.336743	0.581924 	11.5929	        5	      0.0327397 	    0.00176282 	       0.0913712	     0.0147498 	  0.140701 	2.21588    	 3.84238	          3	exact       	 1     	    1    	      2	    0.01 	x              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.341721	0.581924 	11.5929	        5	      0.0327615 	    0.00176409 	       0.0913781	     0.0147605 	  0.166675 	2.21431    	 3.84313	          3	exact       	 1     	    1    	      2	    0.01 	x              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.297178	0.581924 	11.5929	        5	      0.0327618 	    0.00176412 	       0.0913778	     0.0147603 	  0.201756 	2.21433    	 3.84313	          3	exact       	 1     	    1    	      2	    0.01 	x              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.2821  	0.581924 	11.5929	        5	      0.0327618 	    0.00176412 	       0.0913778	     0.0147603 	  0.18299  	2.21433    	 3.84313	          3	exact       	 1     	    1    	      2	    0.01 	x              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.261062	0.581924 	11.5929	        5	      0.0120179 	    0.000225456	       0.066645 	     0.00869657	  1.48688  	0.0332516  	14.6751 	        178	exact       	 1     	    1    	      2	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.255093	0.581924 	11.5929	        5	      0.0122952 	    0.000236895	       0.0666979	     0.00871041	  1.77885  	0.0253091  	14.7189 	        164	exact       	 1     	    1    	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.263065	0.581924 	11.5929	        5	      0.0119728 	    0.000223199	       0.0666575	     0.00871474	  0.810288 	0.03459    	14.6533 	        162	exact       	 1     	    1    	      2	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.336074	0.581924 	11.5929	        5	      0.0119644 	    0.000222845	       0.0666591	     0.00871471	  0.858453 	0.0345966  	14.6533 	        162	exact       	 1     	    1    	      2	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	 0.1 	     0.015378 	  0.000391269	     0.074524 	   0.0103226 	 0.334062	0.581924 	11.5929	        5	      0.0327397 	    0.00176282 	       0.0913712	     0.0147498 	  0.176217 	2.21588    	 3.84238	          3	exact       	 1     	    1    	      2	    0.01 	f              	    0.1
