kernel  	gamma  	  degree	  C	   tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	     cp_gap	   cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.173378	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.452624 	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.173358	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.443166 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.177881	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.481907 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.167088	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.464561 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.17136 	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.462642 	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      2	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.181878	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.476784 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.173085	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.467561 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      2	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.176378	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.492047 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      2	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.16838 	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.460297 	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      2	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.169378	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.452167 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      2	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.169084	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.479068 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      2	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.176727	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.483066 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      2	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.159666	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.301336 	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      4	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.186282	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.406685 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      4	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.15812 	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.433795 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      4	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.166048	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.438442 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      4	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.15507 	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.430412 	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      4	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.162066	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.433411 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      4	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.157873	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.431206 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      4	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.161083	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.438207 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      4	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.157873	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.403149 	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      4	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.162608	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.428409 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      4	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.162081	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.445928 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      4	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.153668	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.439208 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      4	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.132693	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.25433  	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      8	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.134025	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.295747 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      8	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.126025	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.31716  	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      8	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.157517	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.376264 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      8	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.149973	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.34091  	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      8	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.151519	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.366364 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      8	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.149606	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.366748 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      8	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.151606	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.370217 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      8	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.161041	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.345103 	0.0322314  	14.6125 	        154	exact       	 1     	    1    	      8	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.148053	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.354174 	0.0255387  	14.59   	        150	exact       	 1     	    1    	      8	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.15361 	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.357697 	0.0254053  	14.5909 	        150	exact       	 1     	    1    	      8	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.151607	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.376006 	0.0254042  	14.5909 	        150	exact       	 1     	    1    	      8	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.135317	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.247324 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.133254	0.502598   	11.9652	        5	       0.0182908	     0.00678087	        0.206446	      0.0622778	  0.272439 	0.0258051  	14.5881 	        150	exact       	 1     	  100    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.12859 	0.502598   	11.9652	        5	       0.0183757	     0.00678379	        0.206429	      0.062279 	  0.293734 	0.0258648  	14.5888 	        150	exact       	 1     	  100    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.136114	0.502598   	11.9652	        5	       0.0183753	     0.00678379	        0.206429	      0.062279 	  0.327785 	0.0258644  	14.5888 	        150	exact       	 1     	  100    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.149693	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.324631 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      2	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.142897	0.502598   	11.9652	        5	       0.0182908	     0.00678087	        0.206446	      0.0622778	  0.333126 	0.0258051  	14.5881 	        150	exact       	 1     	  100    	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.142897	0.502598   	11.9652	        5	       0.0183757	     0.00678379	        0.206429	      0.062279 	  0.347224 	0.0258648  	14.5888 	        150	exact       	 1     	  100    	      2	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.139059	0.502598   	11.9652	        5	       0.0183753	     0.00678379	        0.206429	      0.062279 	  0.352473 	0.0258644  	14.5888 	        150	exact       	 1     	  100    	      2	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.148689	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.329631 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      2	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.143059	0.502598   	11.9652	        5	       0.0182908	     0.00678087	        0.206446	      0.0622778	  0.338722 	0.0258051  	14.5881 	        150	exact       	 1     	  100    	      2	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.145898	0.502598   	11.9652	        5	       0.0183757	     0.00678379	        0.206429	      0.062279 	  0.34517  	0.0258648  	14.5888 	        150	exact       	 1     	  100    	      2	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.144057	0.502598   	11.9652	        5	       0.0183753	     0.00678379	        0.206429	      0.062279 	  0.358918 	0.0258644  	14.5888 	        150	exact       	 1     	  100    	      2	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.130695	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.247088 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      4	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.137876	0.502598   	11.9652	        5	       0.0178153	     0.00675939	        0.206776	      0.0623551	  0.271121 	0.0187792  	14.6315 	        152	exact       	 1     	  100    	      4	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.132706	0.502598   	11.9652	        5	       0.0178781	     0.00676144	        0.206768	      0.0623571	  0.286921 	0.018608   	14.633  	        152	exact       	 1     	  100    	      4	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.129415	0.502598   	11.9652	        5	       0.0178785	     0.00676145	        0.206768	      0.0623571	  0.310618 	0.0186076  	14.633  	        152	exact       	 1     	  100    	      4	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.135037	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.304434 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      4	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.138442	0.502598   	11.9652	        5	       0.0178153	     0.00675939	        0.206776	      0.0623551	  0.328073 	0.0187792  	14.6315 	        152	exact       	 1     	  100    	      4	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.145441	0.502598   	11.9652	        5	       0.0178781	     0.00676144	        0.206768	      0.0623571	  0.342767 	0.018608   	14.633  	        152	exact       	 1     	  100    	      4	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.144266	0.502598   	11.9652	        5	       0.0178785	     0.00676145	        0.206768	      0.0623571	  0.34462  	0.0186076  	14.633  	        152	exact       	 1     	  100    	      4	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.142279	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.310502 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      4	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.138283	0.502598   	11.9652	        5	       0.0178153	     0.00675939	        0.206776	      0.0623551	  0.322037 	0.0187792  	14.6315 	        152	exact       	 1     	  100    	      4	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.142269	0.502598   	11.9652	        5	       0.0178781	     0.00676144	        0.206768	      0.0623571	  0.343951 	0.018608   	14.633  	        152	exact       	 1     	  100    	      4	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.140265	0.502598   	11.9652	        5	       0.0178785	     0.00676145	        0.206768	      0.0623571	  0.34295  	0.0186076  	14.633  	        152	exact       	 1     	  100    	      4	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.130153	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.255129 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      8	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.127121	0.502598   	11.9652	        5	       0.0182651	     0.00677949	        0.206471	      0.0622849	  0.264713 	0.0255387  	14.59   	        150	exact       	 1     	  100    	      8	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.13107 	0.502598   	11.9652	        5	       0.018243 	     0.00677911	        0.206486	      0.0622892	  0.282213 	0.0254053  	14.5909 	        150	exact       	 1     	  100    	      8	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.151244	0.502598   	11.9652	        5	       0.0182428	     0.0067791 	        0.206486	      0.0622892	  0.318177 	0.0254042  	14.5909 	        150	exact       	 1     	  100    	      8	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0193734	   0.00565745	      0.210487	    0.0641457	 0.130272	0.502598   	11.9652	        5	       0.0178071	     0.00675596	        0.206905	      0.0624252	  0.285123 	0.0322314  	14.6125 	        154	exact       	 1     	  100    	      8	    0.01 	d              	    0.1
