kernel  ,gamma  ,  degree,  C,   tol,  cp_train_mse,  cp_test_mse,  cp_train_mae,  cp_test_mae,  cp_time,     cp_gap,   cp_x,  cp_iter,  gvpm_train_mse,  gvpm_test_mse,  gvpm_train_mae,  gvpm_test_mae,  gvpm_time,   gvpm_gap,  gvpm_x,  gvpm_iter,ls          ,  a_min,    a_max,  n_min,  lam_low,stopping_rule  ,  proj_tol
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.197631,0.266838,14.2749,7,0.0189773,0.00662704,0.0158842,0.000430274,0.325524,0.163251,14.1425,157,exact       ,1,1,2,0.1,d              ,0.1
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.193633,0.266838,14.2749,7,0.0186555,0.00660497,0.015634,0.00042495,0.401332,0.150856,14.2276,163,exact       ,1,1,2,0.1,d              ,0.01
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.203883,0.266838,14.2749,7,0.0189084,0.00662385,0.0157858,0.000425987,0.432859,0.16103,14.1544,161,exact       ,1,1,2,0.1,d              ,0.0001
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.210894,0.266838,14.2749,7,0.0189077,0.00662381,0.0157852,0.000425966,0.416858,0.161029,14.1544,161,exact       ,1,1,2,0.1,d              ,1.00E-06
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.218883,0.266838,14.2749,7,0.0189773,0.00662704,0.0158842,0.000430274,0.388828,0.163251,14.1425,157,exact       ,1,1,2,0.01,d              ,0.1
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.202878,0.266838,14.2749,7,0.0186555,0.00660497,0.015634,0.00042495,0.399857,0.150856,14.2276,163,exact       ,1,1,2,0.01,d              ,0.01
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.198627,0.266838,14.2749,7,0.0189084,0.00662385,0.0157858,0.000425987,0.399954,0.16103,14.1544,161,exact       ,1,1,2,0.01,d              ,0.0001
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.177709,0.266838,14.2749,7,0.0189077,0.00662381,0.0157852,0.000425966,0.348873,0.161029,14.1544,161,exact       ,1,1,2,0.01,d              ,1.00E-06
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.189705,0.266838,14.2749,7,0.0189773,0.00662704,0.0158842,0.000430274,0.339875,0.163251,14.1425,157,exact       ,1,1,2,0.001,d              ,0.1
rbf     ,auto   ,1,1,0.1,0.0183961,0.00640231,0.0152992,0.000477125,0.212887,0.266838,14.2749,7,0.0186555,0.00660497,0.015634,0.00042495,0.36783,0.150856,14.2276,163,exact       ,1,1,2,0.001,d              ,0.01
