kernel  	gamma  	  degree	  C	   tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	     cp_gap	   cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	  a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.227001	0.00669116 	15.4917	        8	       0.0833699	     0.0157064 	       0.109459 	    0.0166902  	  0.0910006	2.54029    	 5.12644	          9	exact       	 0.01  	    100	      2	    0.1  	x              	    0.01
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.203999	0.00669116 	15.4917	        8	       0.0181276	     0.00661201	       0.0154727	    0.000416771	  0.0839982	2.27067    	 3.25095	          6	exact       	 0.01  	    100	      2	    0.1  	x              	    0.0001
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.23101 	0.00669116 	15.4917	        8	       0.0176235	     0.00690854	       0.0183126	    0.00059745 	  0.221003 	0.00405974 	15.4897 	        115	exact       	 0.01  	    100	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.208999	0.00669116 	15.4917	        8	       0.0182374	     0.00695941	       0.0186552	    0.000612304	  0.242955 	0.00336135 	15.5059 	        118	exact       	 0.01  	    100	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.202997	0.00669116 	15.4917	        8	       0.0220696	     0.00627454	       0.0262864	    0.00112198 	  0.0780032	2.39266    	 2.91985	          3	exact       	 0.01  	    100	      2	    0.1  	f              	    0.01
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.193001	0.00669116 	15.4917	        8	       0.019096 	     0.00646122	       0.0161216	    0.000423218	  0.0869994	2.33612    	 3.10998	          3	exact       	 0.01  	    100	      2	    0.1  	f              	    0.0001
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.210969	0.00669116 	15.4917	        8	       0.0833699	     0.0157064 	       0.109459 	    0.0166902  	  0.0850198	2.54029    	 5.12644	          9	exact       	 0.01  	    100	      2	    0.01 	x              	    0.01
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.190001	0.00669116 	15.4917	        8	       0.0181276	     0.00661201	       0.0154727	    0.000416771	  0.0830004	2.27067    	 3.25095	          6	exact       	 0.01  	    100	      2	    0.01 	x              	    0.0001
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.238998	0.00669116 	15.4917	        8	       0.0176235	     0.00690854	       0.0183126	    0.00059745 	  0.22     	0.00405974 	15.4897 	        115	exact       	 0.01  	    100	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.01  	     0.0179338	   0.00687863	     0.0182364	  0.000587774	 0.219988	0.00669116 	15.4917	        8	       0.0182374	     0.00695941	       0.0186552	    0.000612304	  0.241953 	0.00336135 	15.5059 	        118	exact       	 0.01  	    100	      2	    0.01 	d              	    0.0001
