kernel  	gamma  	  degree	  C	   tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	     cp_gap	    cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0657871	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.142319 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0597868	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.137321 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0619011	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.155797 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0707877	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.155796 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0587833	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.136328 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      2	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.066129 	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.13732  	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0637865	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.147789 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      2	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0629413	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.155684 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      2	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.100446 	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.129239 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      2	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0648987	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.13531  	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      2	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0820351	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.147146 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      2	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0648999	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.156798 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      2	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0658424	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.132161 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      4	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0582154	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.135711 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      4	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.059829 	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.146227 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      4	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.059829 	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.157226 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      4	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0617719	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.133651 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      4	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0607669	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.135651 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      4	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0624089	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.145088 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      4	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0644538	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.154191 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      4	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0579927	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.132935 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      4	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0634558	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.139099 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      4	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0624533	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.144646 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      4	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.080797 	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.153534 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      4	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0551839	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.133729 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      8	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0567286	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.128431 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      8	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0598359	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.146973 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      8	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0643778	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.154369 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      8	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0608377	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.132973 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      8	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0653796	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.133211 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      8	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0613766	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.14837  	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      8	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.061377 	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.15537  	0.054521   	 9.98687	        126	exact       	 1     	    1    	      8	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.062377 	0.235223   	 8.64318	        5	      0.0134652 	    0.00026301 	        0.243169	      0.0947365	  0.129738 	0.0524492  	10.0041 	        128	exact       	 1     	    1    	      8	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0650141	0.235223   	 8.64318	        5	      0.0135397 	    0.000262027	        0.243106	      0.0946763	  0.131294 	0.0589294  	 9.94811	        126	exact       	 1     	    1    	      8	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0630157	0.235223   	 8.64318	        5	      0.013586  	    0.000266417	        0.243152	      0.0947136	  0.160655 	0.0545168  	 9.98688	        126	exact       	 1     	    1    	      8	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0136937	  0.000487839	      0.245368	    0.096622 	0.0620112	0.235223   	 8.64318	        5	      0.0135902 	    0.00026658 	        0.243153	      0.0947135	  0.154138 	0.054521   	 9.98687	        126	exact       	 1     	    1    	      8	    0.001	d              	    1e-06
