kernel  	gamma  	  degree	  C	   tol	  cp_train_mse	  cp_test_mse	  cp_train_mae	  cp_test_mae	  cp_time	     cp_gap	   cp_x	  cp_iter	  gvpm_train_mse	  gvpm_test_mse	  gvpm_train_mae	  gvpm_test_mae	  gvpm_time	   gvpm_gap	  gvpm_x	  gvpm_iter	ls          	  a_min	    a_max	  n_min	  lam_low	stopping_rule  	  proj_tol
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330749	0.106964   	6.28091	        5	       0.0368058	      0.0227647	        0.28578 	       0.12147 	 0.065088  	0.106628   	 6.0546 	         74	exact       	 1     	    1    	      2	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.040971 	0.106964   	6.28091	        5	       0.0374286	      0.0227409	        0.28565 	       0.121367	 0.0620823 	0.113834   	 5.98384	         72	exact       	 1     	    1    	      2	    0.1  	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330749	0.106964   	6.28091	        5	       0.0373951	      0.0227344	        0.285666	       0.121359	 0.0760808 	0.114362   	 5.98064	         72	exact       	 1     	    1    	      2	    0.1  	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330749	0.106964   	6.28091	        5	       0.0373951	      0.0227343	        0.285666	       0.121359	 0.0771041 	0.114366   	 5.98064	         72	exact       	 1     	    1    	      2	    0.1  	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330749	0.106964   	6.28091	        5	       0.0368058	      0.0227647	        0.28578 	       0.12147 	 0.0661113 	0.106628   	 6.0546 	         74	exact       	 1     	    1    	      2	    0.01 	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330691	0.106964   	6.28091	        5	       0.0374286	      0.0227409	        0.28565 	       0.121367	 0.0660815 	0.113834   	 5.98384	         72	exact       	 1     	    1    	      2	    0.01 	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330749	0.106964   	6.28091	        5	       0.0373951	      0.0227344	        0.285666	       0.121359	 0.0740812 	0.114362   	 5.98064	         72	exact       	 1     	    1    	      2	    0.01 	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330691	0.106964   	6.28091	        5	       0.0373951	      0.0227343	        0.285666	       0.121359	 0.0792627 	0.114366   	 5.98064	         72	exact       	 1     	    1    	      2	    0.01 	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0340719	0.106964   	6.28091	        5	       0.0368058	      0.0227647	        0.28578 	       0.12147 	 0.0661113 	0.106628   	 6.0546 	         74	exact       	 1     	    1    	      2	    0.001	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0374448	0.106964   	6.28091	        5	       0.0374286	      0.0227409	        0.28565 	       0.121367	 0.063082  	0.113834   	 5.98384	         72	exact       	 1     	    1    	      2	    0.001	d              	    0.01
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330691	0.106964   	6.28091	        5	       0.0373951	      0.0227344	        0.285666	       0.121359	 0.0761049 	0.114362   	 5.98064	         72	exact       	 1     	    1    	      2	    0.001	d              	    0.0001
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0330691	0.106964   	6.28091	        5	       0.0373951	      0.0227343	        0.285666	       0.121359	 0.0761049 	0.114366   	 5.98064	         72	exact       	 1     	    1    	      2	    0.001	d              	    1e-06
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.028949 	0.106964   	6.28091	        5	       0.0368058	      0.0227647	        0.28578 	       0.12147 	 0.0577796 	0.106628   	 6.0546 	         74	exact       	 1     	    1    	      4	    0.1  	d              	    0.1
rbf     	auto   	       1	  1	0.1   	     0.0339639	    0.018909 	      0.287314	     0.122666	0.0295103	0.106964   	6.28091	        5	       0.0374286	      0.0227409	        0.28565 	       0.121367	 0.0642488 	0.113834   	 5.98384	         72	exact       	 1     	    1    	      4	    0.1  	d              	    0.01
