Kernel  	  C	  eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse  	  train avg mae	  train std mae	  test avg mae	  test std mae
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.15184 	              0	      1.1005  	0.0           	       0.754401	              0	      0.733396	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.13674 	              0	      1.13112 	0.0           	       0.934143	              0	      0.929543	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.12226 	              0	      1.02215 	0.0           	       0.747592	              0	      0.710329	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.683742	              0	      0.624062	0.0           	       0.639734	              0	      0.614556	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.981659	              0	      0.958592	0.0           	       0.705343	              0	      0.702107	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.00132 	              0	      1.00786 	0.0           	       0.875727	              0	      0.884478	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.929271	              0	      0.941631	0.0           	       0.837937	              0	      0.838586	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.10682 	              0	      1.01922 	0.0           	       0.924626	              0	      0.885514	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.767627	              0	      0.704949	0.0           	       0.608811	              0	      0.585181	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.815769	              0	      0.806507	0.0           	       0.774356	              0	      0.764379	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.803141	              0	      0.769977	0.0           	       0.735303	              0	      0.72108 	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       1.27649 	              0	      1.27086 	0.0           	       0.994665	              0	      0.991733	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.905765	              0	      0.92555 	0.0           	       0.811039	              0	      0.821025	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.86234 	              0	      0.886308	0.0           	       0.79918 	              0	      0.811503	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.18719 	              0	      1.24503 	0.0           	       0.951432	              0	      0.976671	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.903091	              0	      0.847392	0.0           	       0.686264	              0	      0.666604	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.04141 	              0	      0.973337	0.0           	       0.875359	              0	      0.846146	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.935928	              0	      0.958618	0.0           	       0.703681	              0	      0.70872 	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.17544 	              0	      1.11207 	0.0           	       0.841049	              0	      0.82692 	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.951855	              0	      0.899049	0.0           	       0.633259	              0	      0.60679 	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.07662 	              0	      1.06575 	0.0           	       0.911895	              0	      0.905438	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.966181	              0	      1.16633 	0.0           	       0.629576	              0	      0.692459	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.21621 	              0	      1.27089 	0.0           	       0.86823 	              0	      0.90553 	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.32587 	              0	      1.31775 	0.0           	       0.928667	              0	      0.919942	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.952958	              0	      1.0552  	0.0           	       0.847747	              0	      0.893873	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.975615	              0	      1.04178 	0.0           	       0.714194	              0	      0.741053	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.787911	              0	      0.883506	0.0           	       0.725036	              0	      0.761691	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.82014 	              0	      0.806845	0.0           	       0.770947	              0	      0.768724	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.935591	              0	      0.90497 	0.0           	       0.832472	              0	      0.807585	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.951295	              0	      0.873985	0.0           	       0.655796	              0	      0.633763	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       1.47729 	              0	      1.47066 	0.0           	       1.06353 	              0	      1.05406 	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.942579	              0	      0.903168	0.0           	       0.630314	              0	      0.600743	             0
poly    	  1	  0.1	scale  	       7	      0.1	           0.2	       0.728882	              0	      0.733021	0.0           	       0.669513	              0	      0.666837	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.652396	              0	      0.655088	0.0           	       0.588449	              0	      0.582544	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       1.06652 	              0	      1.10069 	0.0           	       0.898592	              0	      0.927113	             0
linear  	  1	  0.1	scale  	       1	      0.1	           0.2	       0.865803	              0	      0.814307	0.0           	       0.74368 	              0	      0.720288	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       0.873824	              0	      0.845408	0.0           	       0.748373	              0	      0.74149 	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.0423  	              0	      0.975929	0.0           	       0.685783	              0	      0.655203	             0
rbf     	  1	  0.1	auto   	       1	      0.1	           0.2	       1.03542 	              0	      1.00421 	0.0           	       0.728652	              0	      0.714705	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       1.01815 	              0	      0.986741	0.0           	       0.878901	              0	      0.861717	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.794563	              0	      0.760565	0.0           	       0.679208	              0	      0.672715	             0
rbf     	  1	  0.1	scale  	       1	      0.1	           0.2	       0.915183	              0	      0.88019 	0.0           	       0.818023	              0	      0.802536	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       1.09911 	              0	      1.11103 	0.0           	       0.91361 	              0	      0.913567	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.731732	              0	      0.699239	0.0           	       0.674327	              0	      0.668551	             0
poly    	  1	  0.1	scale  	       3	      0.1	           0.2	       0.932228	              0	      0.863277	0.0           	       0.665249	              0	      0.640872	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.933398	              0	      0.977598	0.0           	       0.826393	              0	      0.862923	             0
poly    	  1	  0.1	scale  	       5	      0.1	           0.2	       0.801537	              0	      0.768859	0.0           	       0.734041	              0	      0.720814	             0
