Kernel  	    C	   eps	gamma  	  degree	  opt tol	  tr/val split	  train avg mse	  train std mse	  test avg mse	test std mse        	  train avg mae	  train std mae	  test avg mae	  test std mae
rbf     	  0.1	0.1   	auto   	       1	    0.1  	          0.5 	       0.88486 	      0.0823578	      0.888746	0.08383902818787321 	       0.737752	      0.0748874	      0.74009 	     0.0763496
rbf     	  0.1	0.1   	auto   	       1	    0.1  	          0.33	       0       	      0        	      0       	Exception
rbf     	  0.1	0.1   	auto   	       1	    0.1  	          0.2 	       0.965873	      0.0939003	      0.978531	0.09484507167479944 	       0.811431	      0.0893937	      0.813971	     0.0919791
rbf     	  0.1	0.1   	scale  	       1	    0.1  	          0.5 	       0.904423	      0.108226 	      0.919981	0.10774820286643749 	       0.746131	      0.0882815	      0.755875	     0.087704
rbf     	  0.1	0.1   	scale  	       1	    0.1  	          0.33	       0.956227	      0.120929 	      0.948135	0.1315471690509348  	       0.800711	      0.0958411	      0.794112	     0.092823
rbf     	  0.1	0.1   	scale  	       1	    0.1  	          0.2 	       0.971036	      0.0742546	      0.972829	0.10895893254644985 	       0.820595	      0.0837862	      0.825068	     0.0942197
poly    	  0.1	0.1   	scale  	       3	    0.1  	          0.5 	       0.994808	      0.0902105	      1.00417 	0.12310139111403566 	       0.815541	      0.0902336	      0.820873	     0.0958426
poly    	  0.1	0.1   	scale  	       3	    0.1  	          0.33	       0.949383	      0.0837691	      0.936604	0.08544263486415954 	       0.741171	      0.0829055	      0.734732	     0.0803463
poly    	  0.1	0.1   	scale  	       3	    0.1  	          0.2 	       0.95209 	      0.0473722	      0.934585	0.055202059004515795	       0.777078	      0.0880155	      0.770049	     0.0890065
poly    	  0.1	0.1   	scale  	       5	    0.1  	          0.5 	       1.02751 	      0.0727906	      1.04703 	0.06263052356099945 	       0.842555	      0.090406 	      0.851793	     0.0792287
poly    	  0.1	0.1   	scale  	       5	    0.1  	          0.33	       0.923512	      0.120855 	      0.902668	0.12320666012621949 	       0.744958	      0.0971689	      0.734807	     0.0971042
poly    	  0.1	0.1   	scale  	       5	    0.1  	          0.2 	       0.96709 	      0.0970053	      0.99323 	0.12588011192142923 	       0.778114	      0.0942019	      0.790649	     0.0971221
poly    	  0.1	0.1   	scale  	       7	    0.1  	          0.5 	       0.929194	      0.0969612	      0.922583	0.09809350383149416 	       0.713394	      0.0849733	      0.713937	     0.0863319
poly    	  0.1	0.1   	scale  	       7	    0.1  	          0.33	       0.984179	      0.110616 	      1.00149 	0.13429230016963975 	       0.798472	      0.0955459	      0.806579	     0.0962643
poly    	  0.1	0.1   	scale  	       7	    0.1  	          0.2 	       0.895593	      0.146505 	      0.886246	0.15009294556696853 	       0.730008	      0.106838 	      0.731181	     0.11684
linear  	  0.1	0.1   	scale  	       1	    0.1  	          0.5 	       0       	      0        	      0       	Exception
linear  	  0.1	0.1   	scale  	       1	    0.1  	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.1   	scale  	       1	    0.1  	          0.2 	       1.01011 	      0.241915 	      0.999443	0.2269089163229667  	       0.829399	      0.109992 	      0.82695 	     0.107531
rbf     	  0.1	0.01  	auto   	       1	    0.1  	          0.5 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.01  	auto   	       1	    0.1  	          0.33	       0.934161	      0.151594 	      0.938024	0.13326926409232395 	       0.774224	      0.101364 	      0.776788	     0.0939527
rbf     	  0.1	0.01  	auto   	       1	    0.1  	          0.2 	       0.959943	      0.123872 	      0.959037	0.1292298232602988  	       0.791135	      0.103498 	      0.790471	     0.101979
rbf     	  0.1	0.01  	scale  	       1	    0.1  	          0.5 	       1.00337 	      0.203097 	      1.01353 	0.20353653872974475 	       0.815622	      0.120541 	      0.820642	     0.125095
rbf     	  0.1	0.01  	scale  	       1	    0.1  	          0.33	       0.977731	      0.0916409	      0.958811	0.12349600095825736 	       0.810593	      0.0944699	      0.804602	     0.107682
rbf     	  0.1	0.01  	scale  	       1	    0.1  	          0.2 	       0.872447	      0.154947 	      0.877201	0.1790206237440399  	       0.749616	      0.112607 	      0.744407	     0.127592
poly    	  0.1	0.01  	scale  	       3	    0.1  	          0.5 	       0.980183	      0.101456 	      0.974109	0.10590484223162897 	       0.804795	      0.0881895	      0.80314 	     0.0921253
poly    	  0.1	0.01  	scale  	       3	    0.1  	          0.33	       0.954444	      0.130419 	      0.969659	0.125258062152608   	       0.772575	      0.0940245	      0.778302	     0.0901126
poly    	  0.1	0.01  	scale  	       3	    0.1  	          0.2 	       0.957487	      0.166839 	      0.983547	0.15869498192823464 	       0.793362	      0.123507 	      0.804379	     0.113362
poly    	  0.1	0.01  	scale  	       5	    0.1  	          0.5 	       0.932614	      0.135954 	      0.953303	0.12955065001119734 	       0.762158	      0.119563 	      0.773282	     0.119822
poly    	  0.1	0.01  	scale  	       5	    0.1  	          0.33	       0.955359	      0.136849 	      0.946525	0.14700221282637121 	       0.824246	      0.10428  	      0.821017	     0.110654
poly    	  0.1	0.01  	scale  	       5	    0.1  	          0.2 	       0.919062	      0.103578 	      0.9174  	0.1138288963430695  	       0.794119	      0.0777416	      0.794191	     0.0867701
poly    	  0.1	0.01  	scale  	       7	    0.1  	          0.5 	       0.964993	      0.126891 	      0.958288	0.12247765595358298 	       0.808734	      0.0941023	      0.808719	     0.095272
poly    	  0.1	0.01  	scale  	       7	    0.1  	          0.33	       0.890676	      0.105466 	      0.89064 	0.10769839135312544 	       0.75516 	      0.0893705	      0.754376	     0.0904852
poly    	  0.1	0.01  	scale  	       7	    0.1  	          0.2 	       1.01634 	      0.0729671	      1.00749 	0.09391038445729218 	       0.842309	      0.0916709	      0.841244	     0.101409
linear  	  0.1	0.01  	scale  	       1	    0.1  	          0.5 	       0       	      0        	      0       	Exception
linear  	  0.1	0.01  	scale  	       1	    0.1  	          0.33	       0       	      0        	      0       	Exception
linear  	  0.1	0.01  	scale  	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.0001	auto   	       1	    0.1  	          0.5 	       0.849773	      0.0561429	      0.842393	0.06477411359033615 	       0.70903 	      0.0581654	      0.708357	     0.0617077
rbf     	  0.1	0.0001	auto   	       1	    0.1  	          0.33	       0.906928	      0.0882263	      0.90402 	0.08854883405801982 	       0.75448 	      0.0918683	      0.752214	     0.0949596
rbf     	  0.1	0.0001	auto   	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
rbf     	  0.1	0.0001	scale  	       1	    0.1  	          0.5 	       0.960038	      0.160387 	      0.954901	0.16511431019079267 	       0.807746	      0.101136 	      0.805748	     0.104137
rbf     	  0.1	0.0001	scale  	       1	    0.1  	          0.33	       0       	      0        	      0       	Exception
rbf     	  0.1	0.0001	scale  	       1	    0.1  	          0.2 	       0       	      0        	      0       	Exception
poly    	  0.1	0.0001	scale  	       3	    0.1  	          0.5 	       0.955029	      0.145398 	      0.951153	0.14983695758628576 	       0.780979	      0.0964312	      0.776421	     0.100309
