  Monk	Kernel  	Gamma  	  Degree	    C	  opt tol	train mse          	  test mse	  train acc	  test acc
     1	rbf     	auto   	       1	  0.1	    0.1  	Zero Division Error	  0       	   0       	  0
     1	rbf     	scale  	       1	  0.1	    0.1  	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       3	  0.1	    0.1  	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       5	  0.1	    0.1  	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       7	  0.1	    0.1  	Zero Division Error	  0       	   0       	  0
     1	linear  	scale  	       1	  0.1	    0.1  	Zero Division Error	  0       	   0       	  0
     1	rbf     	auto   	       1	  0.1	    0.001	Zero Division Error	  0       	   0       	  0
     1	rbf     	scale  	       1	  0.1	    0.001	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       3	  0.1	    0.001	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       5	  0.1	    0.001	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       7	  0.1	    0.001	Zero Division Error	  0       	   0       	  0
     1	linear  	scale  	       1	  0.1	    0.001	Zero Division Error	  0       	   0       	  0
     1	rbf     	auto   	       1	  0.1	    1e-08	Zero Division Error	  0       	   0       	  0
     1	rbf     	scale  	       1	  0.1	    1e-08	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       3	  0.1	    1e-08	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       5	  0.1	    1e-08	Zero Division Error	  0       	   0       	  0
     1	poly    	scale  	       7	  0.1	    1e-08	Zero Division Error	  0       	   0       	  0
     1	linear  	scale  	       1	  0.1	    1e-08	Zero Division Error	  0       	   0       	  0
     1	rbf     	auto   	       1	  0.5	    0.1  	0.28225806451612906	  0.340278	   0.717742	  0.659722
     1	rbf     	scale  	       1	  0.5	    0.1  	0.28225806451612906	  0.340278	   0.717742	  0.659722
     1	poly    	scale  	       3	  0.5	    0.1  	0.28225806451612906	  0.337963	   0.717742	  0.662037
     1	poly    	scale  	       5	  0.5	    0.1  	0.2661290322580645 	  0.326389	   0.733871	  0.673611
     1	poly    	scale  	       7	  0.5	    0.1  	0.25806451612903225	  0.3125  	   0.741935	  0.6875
     1	linear  	scale  	       1	  0.5	    0.1  	0.2903225806451613 	  0.344907	   0.709677	  0.655093
     1	rbf     	auto   	       1	  0.5	    0.001	0.28225806451612906	  0.340278	   0.717742	  0.659722
     1	rbf     	scale  	       1	  0.5	    0.001	0.28225806451612906	  0.340278	   0.717742	  0.659722
     1	poly    	scale  	       3	  0.5	    0.001	0.28225806451612906	  0.344907	   0.717742	  0.655093
     1	poly    	scale  	       5	  0.5	    0.001	0.25806451612903225	  0.324074	   0.741935	  0.675926
     1	poly    	scale  	       7	  0.5	    0.001	0.2661290322580645 	  0.314815	   0.733871	  0.685185
     1	linear  	scale  	       1	  0.5	    0.001	0.2903225806451613 	  0.344907	   0.709677	  0.655093
     1	rbf     	auto   	       1	  0.5	    1e-08	0.28225806451612906	  0.340278	   0.717742	  0.659722
     1	rbf     	scale  	       1	  0.5	    1e-08	0.28225806451612906	  0.340278	   0.717742	  0.659722
     1	poly    	scale  	       3	  0.5	    1e-08	0.28225806451612906	  0.344907	   0.717742	  0.655093
     1	poly    	scale  	       5	  0.5	    1e-08	0.25806451612903225	  0.324074	   0.741935	  0.675926
     1	poly    	scale  	       7	  0.5	    1e-08	0.2661290322580645 	  0.314815	   0.733871	  0.685185
     1	linear  	scale  	       1	  0.5	    1e-08	0.2903225806451613 	  0.344907	   0.709677	  0.655093
     1	rbf     	auto   	       1	  1  	    0.1  	0.2903225806451613 	  0.342593	   0.709677	  0.657407
     1	rbf     	scale  	       1	  1  	    0.1  	0.2903225806451613 	  0.342593	   0.709677	  0.657407
     1	poly    	scale  	       3	  1  	    0.1  	0.28225806451612906	  0.328704	   0.717742	  0.671296
